Time,HostName,AirQualityIndex,Humidity,Temperature,Pressure,VOCEstimate,GasSensorResistance,CO2Estimate
1.65E+12,RSE-12-C,89.13837,29.572279,23.57664,998.1661,0.8501116,803571.44,640.44574
1.65E+12,RSE-12-C,89.323296,29.552769,23.581713,998.2078,0.8511081,804529.2,640.75574
1.65E+12,RSE-12-C,89.00769,29.542955,23.58425,998.214,0.8485765,803571.44,639.96747
1.65E+12,RSE-12-C,91.41249,29.5649,23.5944,998.1891,0.86529046,799289.5,645.1288
1.65E+12,RSE-12-C,91.891975,29.552946,23.589327,998.18396,0.8684167,802615.94,646.08307
1.65E+12,RSE-12-C,91.49724,29.563686,23.586788,998.18494,0.86529046,799763.06,645.1288
1.65E+12,RSE-12-C,93.3635,29.561335,23.594555,998.1908,0.87839985,800237.1,649.10767
1.65E+12,RSE-12-C,91.21561,29.550955,23.596935,998.26666,0.8626878,803571.44,644.33167
1.65E+12,RSE-12-C,93.06271,29.534307,23.596935,998.216,0.8756039,798816.56,648.26404
1.65E+12,RSE-12-C,90.04127,29.554626,23.5944,998.1454,0.85380435,803571.44,641.5927
1.65E+12,RSE-12-C,92.15152,29.558737,23.586788,998.1342,0.868453,799289.5,646.0941
1.65E+12,RSE-12-C,91.038216,29.564709,23.586788,998.1867,0.8602442,803571.44,643.58105
1.65E+12,RSE-12-C,91.00467,29.572136,23.58425,998.24194,0.85971165,801662.7,643.4172
1.65E+12,RSE-12-C,91.97038,29.541191,23.599474,998.2937,0.866254,803571.44,645.4232
1.65E+12,RSE-12-C,94.95143,29.559326,23.586788,998.3334,0.8873833,799763.06,651.8001
1.65E+12,RSE-12-C,93.86668,29.559734,23.5944,998.33234,0.87920874,800237.1,649.3512
1.65E+12,RSE-12-C,93.85222,29.572111,23.5944,998.3166,0.8787895,799763.06,649.225
1.65E+12,RSE-12-C,96.15012,29.556952,23.591864,998.36475,0.89515424,795521.5,654.1073
1.65E+12,RSE-12-C,93.58389,29.547056,23.59444,998.3882,0.87623423,798816.56,648.45447
1.65E+12,RSE-12-C,92.8302,29.55617,23.591864,998.4573,0.8705412,800711.8,646.7296
1.65E+12,RSE-12-C,92.2507,29.552301,23.591864,998.53595,0.86612344,802615.94,645.38336
1.65E+12,RSE-12-C,93.0438,29.555405,23.58425,998.5703,0.87144494,802615.94,647.00415
1.65E+12,RSE-12-C,92.89954,29.560093,23.586788,998.71075,0.87011147,803093.44,646.599
1.65E+12,RSE-12-C,93.68073,29.549377,23.587095,998.70026,0.87536216,803093.44,648.191
1.65E+12,RSE-12-C,93.54389,29.553637,23.589327,998.80585,0.8740739,800711.8,647.8013
1.65E+12,RSE-12-C,94.116875,29.527924,23.58425,998.794,0.87784874,800711.8,648.9416
1.65E+12,RSE-12-C,93.39512,29.531712,23.58425,998.80096,0.8723933,803093.44,647.292
1.65E+12,RSE-12-C,90.82061,29.53124,23.5944,998.78125,0.85399735,804050,641.65247
1.65E+12,RSE-12-C,92.864136,29.525984,23.591864,998.7735,0.86800265,805489.25,645.95685
1.65E+12,RSE-12-C,93.2033,29.528442,23.58425,998.78876,0.87008965,801662.7,646.59235
1.65E+12,RSE-12-C,95.368484,29.513077,23.591864,998.8347,0.8852029,797401.06,651.1491
1.65E+12,RSE-12-C,94.07787,29.509512,23.589327,998.83905,0.87566257,802615.94,648.28174
